VisitorTeam,Away_FGM,Away_FGA,Away_FGPct,Away_3PM,Away_3PA,Away_3PPct,Away_FTM,Away_FTA,Away_FT_Pct ,Away_ORB,Away_DRB,Away_TRB,Away_AST,Away_TO,Away_STL,Away_BLK,Away_PF,Away_PTS.G,Season
Atlanta Hawks,33.5,76.7,43.6,4,12,33.5,19.8,26.2,75.5,11.6,27.3,38.9,17.9,14.5,7.2,4.1,21.2,110.8,2007
Boston Celtics,34.7,78.3,44.3,5.5,15.4,35.9,20.9,27.4,76.4,11.1,29.1,40.2,18.6,16.5,8.7,4.7,21,104.1,2007
Brooklyn Nets,35.4,77.4,45.7,7,19.8,35.5,18,24.9,72.1,9.5,30.1,39.6,22.4,13,7.6,4.2,22.8,103.1,2007
Charlotte Hornets,36.2,80.9,44.8,5.2,15.3,33.9,18.7,25.5,73.2,10.7,28.2,38.9,22.1,16.2,8.9,4.9,23.5,103,2007
Chicago Bulls,36.5,81,45,6.4,15.6,40.9,18.3,25.3,72.2,11.6,30.9,42.5,21.1,14.5,7.4,4.8,23.7,100.4,2007
Cleveland Cavaliers,35.6,80.8,44.1,5.5,16.9,32.6,19,26.7,71,12.5,30,42.5,19.5,14.2,7.1,3.6,21.7,98.8,2007
Dallas Mavericks,35.8,78.3,45.8,6,16.8,35.8,19.7,24.4,80.8,11,30.4,41.4,19,14.5,9.1,3,21.9,98.8,2007
Denver Nuggets,38.2,82,46.5,6.2,17.8,34.9,21.6,28.5,75.7,11.9,30.7,42.6,22,12.8,7.1,4.9,19.7,98.6,2007
Detroit Pistons,35.9,79.1,45.3,5.2,15.6,33.1,18.3,24,76.5,11.6,29.5,41.1,20.5,15.6,7.2,3.7,25.3,98.4,2007
Golden State Warriors,38.5,86.4,44.6,8.4,24.6,34.2,17.7,24.1,73.4,11.5,29,40.5,21,14.8,7.6,2.8,22.7,98,2007
Houston Rockets,35.1,79.8,44,8.2,22.3,36.8,18.2,23.6,77.2,10.4,32.9,43.3,20.2,16,6.4,4.6,21.9,97.7,2007
Indiana Pacers,34.1,79.4,43,5.7,16.6,34.5,19,25.4,74.7,11.8,29,40.8,19.7,16.4,7.5,4.7,24.6,97.6,2007
Los Angeles Clippers,35,77.7,45.1,4.3,11.2,38.2,19.6,25,78.6,11.1,29.9,41,19.9,13,6.6,4.7,23,97.4,2007
Los Angeles Lakers,36.6,80.4,45.6,6.9,21.1,32.9,20.2,26.3,76.9,10.4,29.1,39.4,19.8,13.3,7.1,3.5,21.2,96.7,2007
Memphis Grizzlies,35.3,77.8,45.5,5.6,15.4,36.2,21.4,28.2,75.9,10.5,28.8,39.3,20.3,13.9,7.1,4.2,21.8,96.6,2007
Miami Heat,35.1,78.4,44.8,6.9,20,34.6,17.3,24.5,70.8,10.1,31.5,41.6,21.8,14.8,7.8,4.1,24.4,96.2,2007
Milwaukee Bucks,37.6,83.1,45.2,6,17.9,33.5,16.9,23.2,72.8,11.9,27.4,39.3,19.8,16,7.3,4.6,25.6,95.8,2007
Minnesota Timberwolves,36,78.2,45.9,4.8,13.6,35.5,17.4,22.1,78.8,9.9,29.3,39.2,21.6,13.7,6.2,3.3,22.4,95.7,2007
New Orleans Pelicans,35.9,80.4,44.7,5.4,15.5,34.9,18.1,24.2,74.6,12.4,29.8,42.2,18.3,13.4,7.6,3.4,22.5,95.7,2007
New York Knicks,35.1,77.1,45.6,5.8,16,36.3,19.3,27.3,70.5,12.1,30.4,42.5,18.3,16.8,6.6,3,23.7,95.4,2007
Oklahoma City Thunder,37.5,81.1,46.3,6.6,18.1,36.5,17.1,21.7,78.9,11,28.2,39.2,20.3,14.2,7.4,4.9,21.3,95.3,2007
Orlando Magic,35.4,75.4,46.9,4.3,11.8,36.5,18.8,27.2,68.9,11,29,40.1,18.9,14.8,6.1,4,20.4,95.3,2007
