HomeTeam,Home_FGM,Home_FGA,Home_FGPct,Home_3PM,Home_3PA,Home_3PPct,Home_FTM,Home_FTA,Home_FT_Pct ,Home_ORB,Home_DRB,Home_TRB,Home_AST,Home_TO,Home_STL,Home_BLK,Home_PF,Home_PTS.G,Season
Atlanta Hawks,35.6,78.7,45.2,4.3,13.3,32.3,21.1,27.5,76.7,12.2,29,41.3,20.4,14.8,8.1,5.6,23.5,96.6,2007
Boston Celtics,35,79.1,44.3,6,15.9,37.5,19.8,25.8,77,11.3,29.2,40.5,21.2,15.3,7.1,4.7,22.5,95.9,2007
Brooklyn Nets,35.7,78.1,45.7,7.8,21.1,37.1,20.2,27.6,73.3,10.6,31.5,42.1,25.4,14.5,6,3.4,23.2,99.4,2007
Charlotte Hornets,36,81.2,44.4,6,15.9,37.5,19.6,26.6,73.6,11.7,29,40.8,22.7,13.8,7.8,4.9,24,97.5,2007
Chicago Bulls,37.8,81.5,46.4,5.3,14.6,36.6,19,25.5,74.5,12.4,32.5,44.9,23.6,14.4,8.1,6.1,21.9,100,2007
Cleveland Cavaliers,37,81.6,45.4,6.5,17.3,37.7,17.2,25.3,68,12.8,31.7,44.6,22.2,14.1,7.7,5.2,20.9,97.8,2007
Dallas Mavericks,37.6,78.8,47.7,7,17.4,40.3,20.5,25.5,80.2,11.4,30.9,42.4,20.8,13.2,7,5.3,21.8,102.7,2007
Denver Nuggets,39,84,46.4,5.6,17.3,32.3,23,31.3,73.6,12.5,31.7,44.2,24.8,15.7,7.8,5.9,21.8,106.6,2007
Detroit Pistons,35.9,79,45.4,5.8,16.2,35.7,19.2,24.5,78.3,11.5,28.4,39.9,22.6,11.5,6.8,6.1,20.5,96.8,2007
Golden State Warriors,41,85.5,48,8.7,23.4,37,19.3,27.5,70.2,11.5,30.8,42.3,26.6,15.1,9.4,6.5,23.6,110,2007
Houston Rockets,35.8,79.4,45.1,9,23.9,37.6,16.8,22.9,73.5,11,32.3,43.4,21.4,13.3,7.1,4,19.9,97.3,2007
Indiana Pacers,35.9,80.6,44.6,6,17.2,34.8,20.4,26.4,77.2,12.4,30.5,42.9,21.3,15.6,7.9,5.8,23.2,98.3,2007
Los Angeles Clippers,35.2,76.4,46.1,3.4,10.9,31.2,23.5,29.8,79,10.5,30.7,41.2,23.1,14.2,7.5,7.1,22.4,97.4,2007
Los Angeles Lakers,39,82.1,47.5,7.9,21,37.7,20.3,27.9,72.7,11.2,31.8,43,25.4,15.6,7.2,5.5,22.4,106.3,2007
Memphis Grizzlies,37.8,79.5,47.5,6.6,17.8,37.2,23.3,30.6,76.4,10.6,29.1,39.7,20.7,15.5,7.4,5.3,22.6,105.5,2007
Miami Heat,36.1,75,48.1,6,17.6,34,16.6,24.8,67.2,9.8,30.1,40,19.2,14,7.1,5.9,20.3,94.8,2007
Milwaukee Bucks,38.6,80.6,47.8,6.8,18,37.7,17.4,23.6,73.7,11.1,28,39,23.4,14.4,6.7,2.7,21.8,101.3,2007
Minnesota Timberwolves,37.1,80.4,46.2,4.5,13,35,19.1,24,79.6,10.1,31,41.1,23.4,14.6,6.3,4.1,21.5,98,2007
New Orleans Pelicans,36.6,82.4,44.4,5.7,15.1,37.6,17,23.1,73.3,12.6,31.5,44.1,19.2,12.5,6.6,4.5,19.1,95.8,2007
New York Knicks,35.7,77.9,45.8,5.8,17.4,33,22.5,31.1,72.4,13,31,44,19.1,15.7,6.6,3.3,23.4,99.6,2007
Oklahoma City Thunder,36.8,80.5,45.7,6.2,17.3,35.9,19.7,24.9,79.2,11.6,28.4,40,21,14.8,8.2,3.8,22.2,99.5,2007
Orlando Magic,34.7,73.1,47.5,4,11.7,34.6,22.2,31.1,71.3,11.4,29.9,41.3,18.3,16.9,7.2,4.9,23,95.7,2007
Philadelphia 76ers,35.1,77.3,45.4,3.6,10.1,35.7,20.7,26.7,77.6,11,30.5,41.5,21.1,15.2,7,4.6,19.4,94.6,2007
Phoenix Suns,41,83.1,49.3,9.4,24.1,38.9,18.2,22.1,82.2,9.3,32.4,41.7,24.8,13.5,6.3,5.5,19.3,109.6,2007
Portland Trail Blazers,35.8,78.5,45.6,5.4,15.3,35.2,18.8,24.1,78,11.4,28.2,39.6,19.5,13.6,7,4.5,23,95.8,2007
Sacramento Kings,36.6,79.4,46.1,6.8,19.2,35.6,23.7,30.8,76.8,9.6,30,39.6,20.1,13.7,7.3,3.4,21.8,103.7,2007
San Antonio Spurs,36.8,77.3,47.6,6.7,18.1,36.8,18.3,25.3,72.2,9.8,32.1,41.9,22.3,13.8,7.2,5.3,19,98.5,2007
Toronto Raptors,38.1,79.7,47.8,7.1,17.9,39.8,18.9,24.2,77.8,9.6,30.7,40.3,23.6,12.5,7,4.3,19.6,102.2,2007
Utah Jazz,38.7,78.7,49.1,4.2,12,35,23.1,30.7,75.2,12.5,30.7,43.1,25.8,14.5,6.9,4.6,25.1,104.6,2007
Washington Wizards,38.2,83.5,45.8,6.8,19.6,34.6,22.3,29.1,76.4,12.5,28.5,41,21.4,13.4,7.9,5,21.7,105.5,2007
Atlanta Hawks,37.6,80.3,46.8,4.5,13.3,33.9,22,28.1,78.3,12.4,30.6,43,24.6,14,7.2,5.7,20.5,101.8,2008
Boston Celtics,36.8,76.2,48.2,6.5,18,36.3,20.3,26.4,76.8,10.1,32.1,42.2,24.5,14.5,8.5,4.7,22.2,100.4,2008
Brooklyn Nets,34.8,79,44,6.1,17.6,34.9,21.5,28.4,75.8,11.8,31.4,43.2,24.2,14.4,6.4,5.1,22.8,97.2,2008
Charlotte Hornets,36.9,80.5,45.8,6.4,17.1,37.1,19.7,27.5,71.5,11.3,30.1,41.5,21.3,13.1,7.4,5.4,22,99.9,2008
