Rank,Team,Home,Away,Season
6,Atlanta Hawks,97.7,100.8,2016
13,Boston Celtics,100.5,104.5,2016
24,Brooklyn Nets,104,108,2016
9,Charlotte Hornets,99.1,102.3,2016
16,Chicago Bulls,100.2,106,2016
4,Cleveland Cavaliers,98.4,98.3,2016
14,Dallas Mavericks,102,103.2,2016
22,Denver Nuggets,106,104,2016
12,Detroit Pistons,100,102.7,2016
19,Golden State Warriors,101.9,106.4,2016
25,Houston Rockets,104.6,108.1,2016
8,Indiana Pacers,98.9,102,2016
7,Los Angeles Clippers,97.9,102.5,2016
27,Los Angeles Lakers,103,110.8,2016
11,Memphis Grizzlies,101.5,101.2,2016
5,Miami Heat,97.9,99,2016
17,Milwaukee Bucks,101.9,104.6,2016
23,Minnesota Timberwolves,105.3,106.6,2016
26,New Orleans Pelicans,106.6,106.4,2016
10,New York Knicks,100.3,101.9,2016
15,Oklahoma City Thunder,99.7,106.2,2016
18,Orlando Magic,102.1,105.2,2016
29,Philadelphia 76ers,107.7,107.6,2016
28,Phoenix Suns,105.8,109.2,2016
20,Portland Trail Blazers,102.3,106.3,2016
30,Sacramento Kings,108.5,109.5,2016
1,San Antonio Spurs,91.2,94.6,2016
3,Toronto Raptors,98.4,98,2016
2,Utah Jazz,93,98.7,2016
21,Washington Wizards,103.5,105.7,2016
5,Atlanta Hawks,95,99.2,2015
22,Boston Celtics,99.9,102.6,2015
18,Brooklyn Nets,101.3,100.5,2015
7,Charlotte Hornets,96.6,98,2015
9,Chicago Bulls,97.6,98,2015
13,Cleveland Cavaliers,96,101.3,2015
25,Dallas Mavericks,102.4,102.2,2015
27,Denver Nuggets,103.9,106.2,2015
14,Detroit Pistons,100.9,98.1,2015
15,Golden State Warriors,98.7,101,2015
17,Houston Rockets,98,103,2015
4,Indiana Pacers,95.7,98.4,2015
16,Los Angeles Clippers,98,102.3,2015
29,Los Angeles Lakers,103.8,106.8,2015
2,Memphis Grizzlies,93.2,97,2015
6,Miami Heat,97.9,96.7,2015
8,Milwaukee Bucks,96.6,98.2,2015
30,Minnesota Timberwolves,104,109,2015
12,New Orleans Pelicans,97.6,99.5,2015
21,New York Knicks,99.6,102.9,2015
24,Oklahoma City Thunder,99.9,103.7,2015
23,Orlando Magic,102.3,100.5,2015
20,Philadelphia 76ers,100.3,101.6,2015
26,Phoenix Suns,101.6,105,2015
11,Portland Trail Blazers,95.8,101.4,2015
28,Sacramento Kings,102.3,107.8,2015
3,San Antonio Spurs,97.8,96.1,2015
19,Toronto Raptors,98.4,103.5,2015
1,Utah Jazz,93.4,96.5,2015
10,Washington Wizards,96.3,99.3,2015
15,Atlanta Hawks,98.4,104.4,2014
13,Boston Celtics,99,102.4,2014
11,Brooklyn Nets,97.3,101.7,2014
4,Charlotte Hornets,94.3,99.9,2014
1,Chicago Bulls,89.6,94,2014
16,Cleveland Cavaliers,98.7,104.4,2014
20,Dallas Mavericks,103.7,101.2,2014
28,Denver Nuggets,105.1,108,2014
27,Detroit Pistons,103.6,105.8,2014
10,Golden State Warriors,97.3,101.6,2014
23,Houston Rockets,100.2,106,2014
2,Indiana Pacers,88,96.6,2014
14,Los Angeles Clippers,100,101.9,2014
29,Los Angeles Lakers,108.1,110.4,2014
3,Memphis Grizzlies,96,93.1,2014
5,Miami Heat,97.4,97.5,2014
25,Milwaukee Bucks,101.5,105.8,2014
26,Minnesota Timberwolves,101.8,106.7,2014
19,New Orleans Pelicans,100,104.9,2014
8,New York Knicks,99.1,99.6,2014
12,Oklahoma City Thunder,98.5,101.2,2014
17,Orlando Magic,101.1,102.8,2014
30,Philadelphia 76ers,110.3,109.5,2014
21,Phoenix Suns,102.7,102.5,2014
22,Portland Trail Blazers,101.3,104.2,2014
24,Sacramento Kings,102.6,104.2,2014
6,San Antonio Spurs,97.4,97.8,2014
7,Toronto Raptors,98.8,97.3,2014
18,Utah Jazz,100.4,103.9,2014
9,Washington Wizards,98.3,100.5,2014
13,Atlanta Hawks,98.3,96.8,2013
12,Boston Celtics,94,99.5,2013
6,Brooklyn Nets,95,95.2,2013
29,Charlotte Hornets,100.7,104.6,2013
3,Chicago Bulls,90.9,94.9,2013
25,Cleveland Cavaliers,100.2,102.2,2013
27,Dallas Mavericks,100.6,102.8,2013
23,Denver Nuggets,97.7,104.4,2013
18,Detroit Pistons,96.4,101.3,2013
19,Golden State Warriors,97.6,102.9,2013
28,Houston Rockets,101,103.9,2013
2,Indiana Pacers,89.9,91.5,2013
4,Los Angeles Clippers,93.3,96,2013
22,Los Angeles Lakers,97.4,104.7,2013
1,Memphis Grizzlies,87,91.6,2013
5,Miami Heat,95.7,94.4,2013
20,Milwaukee Bucks,101.2,99.6,2013
16,Minnesota Timberwolves,95.2,101,2013
14,New Orleans Pelicans,95.2,100.7,2013
7,New York Knicks,94,97.4,2013
10,Oklahoma City Thunder,95.5,97.5,2013
24,Orlando Magic,102.1,100.1,2013
9,Philadelphia 76ers,95.9,97.1,2013
26,Phoenix Suns,97.8,105.5,2013
21,Portland Trail Blazers,98.8,102.5,2013
30,Sacramento Kings,104.9,105.4,2013
11,San Antonio Spurs,94.3,98.9,2013
17,Toronto Raptors,95,102.4,2013
15,Utah Jazz,95.2,101,2013
8,Washington Wizards,95.2,96.3,2013
6,Atlanta Hawks,94.2,92.1,2012
2,Boston Celtics,84.4,94.3,2012
24,Brooklyn Nets,100.8,97.4,2012
27,Charlotte Hornets,99.5,102.2,2012
1,Chicago Bulls,87.8,88.5,2012
26,Cleveland Cavaliers,99.6,100.8,2012
12,Dallas Mavericks,92.8,96.8,2012
29,Denver Nuggets,99.2,103.2,2012
14,Detroit Pistons,93.5,97.8,2012
28,Golden State Warriors,101.1,101.3,2012
19,Houston Rockets,95.2,100.5,2012
10,Indiana Pacers,93.4,95.5,2012
13,Los Angeles Clippers,93.9,96.1,2012
15,Los Angeles Lakers,92.7,99,2012
5,Memphis Grizzlies,92.3,93.7,2012
4,Miami Heat,89.5,95.5,2012
22,Milwaukee Bucks,100,97.5,2012
25,Minnesota Timberwolves,98.1,102.2,2012
8,New Orleans Pelicans,92,94.8,2012
11,New York Knicks,92.5,96.8,2012
17,Oklahoma City Thunder,96.3,97.6,2012
7,Orlando Magic,92.8,94,2012
3,Philadelphia 76ers,85.8,93,2012
21,Phoenix Suns,97.8,99.4,2012
18,Portland Trail Blazers,96,99.7,2012
30,Sacramento Kings,103.8,105.1,2012
16,San Antonio Spurs,93.8,99.2,2012
9,Toronto Raptors,93.2,94.8,2012
23,Utah Jazz,95.9,102.2,2012
20,Washington Wizards,97.6,99.2,2012
9,Atlanta Hawks,95.9,95.8,2011
1,Boston Celtics,91.3,90.9,2011
15,Brooklyn Nets,99,101.9,2011
11,Charlotte Hornets,96.6,98,2011
2,Chicago Bulls,89.9,92.7,2011
23,Cleveland Cavaliers,101.4,107.5,2011
10,Dallas Mavericks,95.2,96.8,2011
21,Denver Nuggets,101.2,104.2,2011
16,Detroit Pistons,101.3,99.8,2011
27,Golden State Warriors,103.2,108.2,2011
22,Houston Rockets,101,106.5,2011
17,Indiana Pacers,99.7,102,2011
20,Los Angeles Clippers,99.3,104.3,2011
8,Los Angeles Lakers,95,95.8,2011
13,Memphis Grizzlies,95.7,99.5,2011
6,Miami Heat,94,95.2,2011
3,Milwaukee Bucks,90.3,95.2,2011
30,Minnesota Timberwolves,105.2,110.2,2011
5,New Orleans Pelicans,92.3,95.8,2011
28,New York Knicks,106.2,105.3,2011
18,Oklahoma City Thunder,100.8,101.3,2011
4,Orlando Magic,90.2,97.3,2011
12,Philadelphia 76ers,95.4,99.6,2011
29,Phoenix Suns,104.6,107.2,2011
7,Portland Trail Blazers,92.9,96.7,2011
25,Sacramento Kings,102.1,107.3,2011
14,San Antonio Spurs,96,99.9,2011
26,Toronto Raptors,102.8,107.9,2011
19,Utah Jazz,100.2,102.3,2011
24,Washington Wizards,100.3,109,2011
10,Atlanta Hawks,96,98,2010
5,Boston Celtics,96.9,94.2,2010
17,Brooklyn Nets,99.2,103.8,2010
1,Charlotte Hornets,91.8,95.9,2010
13,Chicago Bulls,97.3,100.9,2010
6,Cleveland Cavaliers,94.4,96.8,2010
15,Dallas Mavericks,99.6,99,2010
20,Denver Nuggets,101,103.7,2010
14,Detroit Pistons,96.7,101.5,2010
30,Golden State Warriors,111.2,113.6,2010
22,Houston Rockets,101.8,103.7,2010
23,Indiana Pacers,101,106.6,2010
19,Los Angeles Clippers,99.2,105,2010
9,Los Angeles Lakers,95.4,98.6,2010
24,Memphis Grizzlies,101.7,106.3,2010
2,Miami Heat,93.3,95.1,2010
7,Milwaukee Bucks,96.6,95.4,2010
29,Minnesota Timberwolves,103.1,112.4,2010
21,New Orleans Pelicans,100,105.4,2010
28,New York Knicks,104.2,107.7,2010
11,Oklahoma City Thunder,96,100,2010
4,Orlando Magic,93.8,96.8,2010
18,Philadelphia 76ers,101.4,101.9,2010
26,Phoenix Suns,103.2,107.5,2010
3,Portland Trail Blazers,93.6,96,2010
25,Sacramento Kings,105,104,2010
8,San Antonio Spurs,97.1,95.4,2010
27,Toronto Raptors,103.2,108.5,2010
12,Utah Jazz,98.1,99.7,2010
16,Washington Wizards,100.8,101.2,2010
10,Atlanta Hawks,93,100.1,2009
3,Boston Celtics,94.4,92.4,2009
17,Brooklyn Nets,98.9,102.1,2009
9,Charlotte Hornets,91.6,98.2,2009
21,Chicago Bulls,100.2,104.7,2009
1,Cleveland Cavaliers,88,94.8,2009
15,Dallas Mavericks,99.7,99.8,2009
19,Denver Nuggets,100.7,101.2,2009
8,Detroit Pistons,94.4,95,2009
30,Golden State Warriors,112.4,112.3,2009
7,Houston Rockets,91,97.8,2009
26,Indiana Pacers,104.2,108.2,2009
25,Los Angeles Clippers,101.5,106.3,2009
13,Los Angeles Lakers,97.9,100.7,2009
14,Memphis Grizzlies,98.5,100.2,2009
12,Miami Heat,96.6,99.5,2009
16,Milwaukee Bucks,99.8,100.9,2009
22,Minnesota Timberwolves,104,101.4,2009
5,New Orleans Pelicans,91.7,96.9,2009
28,New York Knicks,107.9,107.7,2009
23,Oklahoma City Thunder,98.8,107.3,2009
6,Orlando Magic,91.4,97.3,2009
11,Philadelphia 76ers,93.6,101,2009
27,Phoenix Suns,106.3,108.7,2009
4,Portland Trail Blazers,93.4,94.8,2009
29,Sacramento Kings,108.1,110.6,2009
2,San Antonio Spurs,93,93.6,2009
20,Toronto Raptors,101.2,102.5,2009
18,Utah Jazz,95.5,106.3,2009
24,Washington Wizards,102.1,104.9,2009
15,Atlanta Hawks,99.6,100.4,2008
2,Boston Celtics,87.9,92.7,2008
17,Brooklyn Nets,99.3,102.5,2008
20,Charlotte Hornets,99.8,103.1,2008
16,Chicago Bulls,99.2,101.6,2008
9,Cleveland Cavaliers,94.9,98.6,2008
6,Dallas Mavericks,94.8,97,2008
29,Denver Nuggets,102.5,111.4,2008
1,Detroit Pistons,88.2,91.9,2008
30,Golden State Warriors,109.7,108,2008
4,Houston Rockets,89.9,94.1,2008
26,Indiana Pacers,104.8,106,2008
18,Los Angeles Clippers,98,104.2,2008
19,Los Angeles Lakers,101.3,101.4,2008
28,Memphis Grizzlies,107.8,106,2008
14,Miami Heat,99.8,100.2,2008
23,Milwaukee Bucks,102.5,105.3,2008
21,Minnesota Timberwolves,100.8,104,2008
5,New Orleans Pelicans,94.2,97,2008
22,New York Knicks,100.8,106.3,2008
27,Oklahoma City Thunder,104,108.6,2008
11,Orlando Magic,98.2,99.8,2008
7,Philadelphia 76ers,92.8,99.6,2008
25,Phoenix Suns,105.1,105,2008
8,Portland Trail Blazers,94,98.7,2008
24,Sacramento Kings,102,107.6,2008
3,San Antonio Spurs,88.4,92.7,2008
10,Toronto Raptors,94.8,99.8,2008
13,Utah Jazz,94.6,104,2008
12,Washington Wizards,97,101.3,2008
15,Atlanta Hawks,97,99.8,2007
18,Boston Celtics,98.6,99.8,2007
13,Brooklyn Nets,97.6,99,2007
21,Charlotte Hornets,97.8,103.5,2007
6,Chicago Bulls,89.5,98,2007
5,Cleveland Cavaliers,90.1,95.8,2007
4,Dallas Mavericks,92.3,93.3,2007
26,Denver Nuggets,102.8,104.7,2007
2,Detroit Pistons,92.9,90.8,2007
