Rank,Team,Home,Away,Season
12,Atlanta Hawks,103.6,102.1,2016
5,Boston Celtics,106,105.4,2016
26,Brooklyn Nets,98.9,98.4,2016
11,Charlotte Hornets,105.5,101.3,2016
21,Chicago Bulls,101.8,101.5,2016
8,Cleveland Cavaliers,106.6,102,2016
16,Dallas Mavericks,104.3,100.3,2016
20,Denver Nuggets,103.7,100.1,2016
19,Detroit Pistons,105,98.9,2016
1,Golden State Warriors,116.3,113.5,2016
4,Houston Rockets,106.3,106.8,2016
17,Indiana Pacers,102.9,101.4,2016
7,Los Angeles Clippers,104.8,104.2,2016
30,Los Angeles Lakers,96.8,97.9,2016
24,Memphis Grizzlies,101.9,96.3,2016
23,Miami Heat,103.2,96.9,2016
25,Milwaukee Bucks,100.9,97.2,2016
15,Minnesota Timberwolves,101.5,103.3,2016
13,New Orleans Pelicans,105.9,99.5,2016
27,New York Knicks,98.8,97.9,2016
2,Oklahoma City Thunder,109.5,110.9,2016
18,Orlando Magic,104.5,99.7,2016
29,Philadelphia 76ers,98.1,96.8,2016
22,Phoenix Suns,103.1,98.6,2016
6,Portland Trail Blazers,108,102.2,2016
3,Sacramento Kings,107.8,105.4,2016
10,San Antonio Spurs,105.1,101.9,2016
14,Toronto Raptors,105,100.5,2016
28,Utah Jazz,98.6,96.8,2016
9,Washington Wizards,106,102.1,2016
10,Atlanta Hawks,103.5,101.6,2015
13,Boston Celtics,101.4,101.3,2015
21,Brooklyn Nets,99,97,2015
28,Charlotte Hornets,95,93.3,2015
15,Chicago Bulls,101.9,99.7,2015
8,Cleveland Cavaliers,103.4,102.8,2015
3,Dallas Mavericks,106.6,103.9,2015
12,Denver Nuggets,104.2,98.8,2015
18,Detroit Pistons,101.2,95.8,2015
1,Golden State Warriors,113.3,106.6,2015
6,Houston Rockets,103.6,104.3,2015
24,Indiana Pacers,98.4,96.2,2015
2,Los Angeles Clippers,106,107.4,2015
19,Los Angeles Lakers,98.6,98.3,2015
20,Memphis Grizzlies,99.5,97.2,2015
27,Miami Heat,96.8,92.5,2015
22,Milwaukee Bucks,97.9,97.8,2015
23,Minnesota Timberwolves,97,98.5,2015
16,New Orleans Pelicans,101.7,97,2015
30,New York Knicks,91.5,92.3,2015
5,Oklahoma City Thunder,106.9,101,2015
25,Orlando Magic,97.1,94.3,2015
29,Philadelphia 76ers,95.2,88.7,2015
11,Phoenix Suns,102.7,102.1,2015
9,Portland Trail Blazers,104.1,101.5,2015
14,Sacramento Kings,101.4,101.3,2015
7,San Antonio Spurs,107.4,99,2015
4,Toronto Raptors,102.7,105.3,2015
26,Utah Jazz,96.3,94,2015
17,Washington Wizards,102.3,94.8,2015
15,Atlanta Hawks,100.6,101.4,2014
26,Boston Celtics,96.5,96,2014
21,Brooklyn Nets,100.6,96.5,2014
23,Charlotte Hornets,96.5,97.2,2014
30,Chicago Bulls,94.5,92.9,2014
22,Cleveland Cavaliers,98.9,97.6,2014
8,Dallas Mavericks,107.4,102.2,2014
9,Denver Nuggets,106,102.8,2014
14,Detroit Pistons,101.1,101,2014
10,Golden State Warriors,104.8,103.8,2014
2,Houston Rockets,109.2,106.1,2014
24,Indiana Pacers,98.5,95,2014
1,Los Angeles Clippers,110.8,105.1,2014
11,Los Angeles Lakers,104,102,2014
27,Memphis Grizzlies,98.7,93.6,2014
12,Miami Heat,104.5,99.9,2014
28,Milwaukee Bucks,94.4,96.6,2014
3,Minnesota Timberwolves,108,105.8,2014
18,New Orleans Pelicans,101.2,98.3,2014
20,New York Knicks,100,97.2,2014
5,Oklahoma City Thunder,107.7,104.6,2014
25,Orlando Magic,100.1,92.9,2014
19,Philadelphia 76ers,100.3,98.6,2014
7,Phoenix Suns,108.1,102.3,2014
4,Portland Trail Blazers,107.7,105.8,2014
17,Sacramento Kings,102.1,98.9,2014
6,San Antonio Spurs,106.3,104.4,2014
13,Toronto Raptors,103.4,99.1,2014
29,Utah Jazz,96.8,93.3,2014
16,Washington Wizards,100.3,101,2014
14,Atlanta Hawks,99.4,96.5,2013
18,Boston Celtics,98.5,94.6,2013
17,Brooklyn Nets,97.6,96.2,2013
26,Charlotte Hornets,96.5,90.4,2013
29,Chicago Bulls,92.9,93.5,2013
19,Cleveland Cavaliers,97.1,95.9,2013
8,Dallas Mavericks,103,99.2,2013
1,Denver Nuggets,108.4,103.9,2013
22,Detroit Pistons,95.8,93.9,2013
7,Golden State Warriors,101.8,100.6,2013
2,Houston Rockets,108.3,103.6,2013
23,Indiana Pacers,97.6,91.8,2013
9,Los Angeles Clippers,104.1,98,2013
6,Los Angeles Lakers,102.6,101.8,2013
27,Memphis Grizzlies,93.2,93.6,2013
5,Miami Heat,106.4,99.4,2013
12,Milwaukee Bucks,101.3,96.5,2013
20,Minnesota Timberwolves,96,95.4,2013
25,New Orleans Pelicans,93,95.1,2013
11,New York Knicks,102.7,97.2,2013
3,Oklahoma City Thunder,108.5,103,2013
24,Orlando Magic,95.1,93.1,2013
30,Philadelphia 76ers,94.7,91.7,2013
21,Phoenix Suns,94.6,95.8,2013
15,Portland Trail Blazers,99.2,95.8,2013
10,Sacramento Kings,104.6,95.9,2013
4,San Antonio Spurs,104.6,101.4,2013
16,Toronto Raptors,96.8,97.6,2013
13,Utah Jazz,100.3,95.8,2013
28,Washington Wizards,97.9,88.6,2013
17,Atlanta Hawks,99.1,94.1,2012
26,Boston Celtics,92.2,91.5,2012
24,Brooklyn Nets,94.2,92,2012
30,Charlotte Hornets,87.1,86.8,2012
18,Chicago Bulls,95.9,96.8,2012
25,Cleveland Cavaliers,92.7,93.4,2012
19,Dallas Mavericks,97.4,94.2,2012
1,Denver Nuggets,103.1,105.2,2012
27,Detroit Pistons,92.9,88.8,2012
12,Golden State Warriors,98.9,96.6,2012
9,Houston Rockets,100,96.2,2012
13,Indiana Pacers,99.7,95.8,2012
14,Los Angeles Clippers,99.1,96,2012
15,Los Angeles Lakers,98.8,95.8,2012
20,Memphis Grizzlies,98.7,91.2,2012
7,Miami Heat,100.4,96.6,2012
5,Milwaukee Bucks,100.5,97.6,2012
10,Minnesota Timberwolves,95.8,100,2012
29,New Orleans Pelicans,89.3,90,2012
11,New York Knicks,99.8,95.9,2012
3,Oklahoma City Thunder,106,100.1,2012
21,Orlando Magic,96.6,91.7,2012
22,Philadelphia 76ers,92.9,94.4,2012
8,Phoenix Suns,100.6,96.2,2012
16,Portland Trail Blazers,101.6,92.8,2012
6,Sacramento Kings,101.5,96.1,2012
2,San Antonio Spurs,105.7,101.6,2012
28,Toronto Raptors,92.6,88.8,2012
4,Utah Jazz,101.9,97.4,2012
23,Washington Wizards,95.2,92,2012
26,Atlanta Hawks,95,95,2011
23,Boston Celtics,99.5,93.5,2011
28,Brooklyn Nets,95.7,92.6,2011
29,Charlotte Hornets,95.9,90.7,2011
20,Chicago Bulls,100.1,97.1,2011
25,Cleveland Cavaliers,95.7,95.2,2011
11,Dallas Mavericks,101.5,99,2011
1,Denver Nuggets,111.8,103.1,2011
22,Detroit Pistons,100.8,93.1,2011
7,Golden State Warriors,105.9,100.8,2011
3,Houston Rockets,105.7,106.1,2011
13,Indiana Pacers,103.1,96.4,2011
19,Los Angeles Clippers,100.4,96.9,2011
9,Los Angeles Lakers,103.6,99.3,2011
12,Memphis Grizzlies,102.9,97,2011
8,Miami Heat,103.1,101,2011
30,Milwaukee Bucks,92.3,91.4,2011
10,Minnesota Timberwolves,101.9,100.2,2011
27,New Orleans Pelicans,95.8,94,2011
2,New York Knicks,108.1,104.9,2011
5,Oklahoma City Thunder,107.1,102.6,2011
16,Orlando Magic,99.2,99.2,2011
18,Philadelphia 76ers,100.5,97.5,2011
4,Phoenix Suns,105.5,104.6,2011
24,Portland Trail Blazers,98.5,94.1,2011
15,Sacramento Kings,98.7,100.1,2011
6,San Antonio Spurs,106,101.4,2011
17,Toronto Raptors,100.2,97.9,2011
14,Utah Jazz,101,97.9,2011
21,Washington Wizards,98.3,96.3,2011
13,Atlanta Hawks,104.5,98.8,2010
19,Boston Celtics,100.3,98.1,2010
30,Brooklyn Nets,92,92.8,2010
28,Charlotte Hornets,98.3,92.2,2010
24,Chicago Bulls,98,97,2010
9,Cleveland Cavaliers,103.3,101,2010
11,Dallas Mavericks,101.8,102.2,2010
3,Denver Nuggets,110,102.9,2010
29,Detroit Pistons,93.4,94.6,2010
2,Golden State Warriors,112,105.6,2010
8,Houston Rockets,103.4,101.4,2010
16,Indiana Pacers,102.9,98.7,2010
27,Los Angeles Clippers,96.4,95,2010
12,Los Angeles Lakers,103.9,99.5,2010
7,Memphis Grizzlies,101.8,103.2,2010
25,Miami Heat,96.8,96.3,2010
23,Milwaukee Bucks,99.9,95.4,2010
20,Minnesota Timberwolves,97.6,98.8,2010
17,New Orleans Pelicans,100.9,99.6,2010
10,New York Knicks,103.5,100.7,2010
14,Oklahoma City Thunder,101.7,101.3,2010
6,Orlando Magic,105.4,100.1,2010
22,Philadelphia 76ers,96.6,98.9,2010
1,Phoenix Suns,112.6,107.9,2010
21,Portland Trail Blazers,98.3,97.9,2010
18,Sacramento Kings,103.5,96.5,2010
15,San Antonio Spurs,105.5,97.3,2010
5,Toronto Raptors,104.5,103.6,2010
4,Utah Jazz,107.6,100.9,2010
26,Washington Wizards,98.1,94.4,2010
19,Atlanta Hawks,98.7,97.6,2009
11,Boston Celtics,104.6,97.3,2009
20,Brooklyn Nets,98,98.2,2009
30,Charlotte Hornets,93.7,93.5,2009
8,Chicago Bulls,104.3,100,2009
13,Cleveland Cavaliers,102.3,98.2,2009
9,Dallas Mavericks,106.2,97.3,2009
6,Denver Nuggets,107.8,100.9,2009
28,Detroit Pistons,94.6,93.9,2009
2,Golden State Warriors,113.8,103.4,2009
17,Houston Rockets,99.9,97,2009
5,Indiana Pacers,106.7,103.4,2009
27,Los Angeles Clippers,93.9,96.3,2009
3,Los Angeles Lakers,108,105.9,2009
29,Memphis Grizzlies,95.2,92.5,2009
18,Miami Heat,100.8,95.8,2009
15,Milwaukee Bucks,102.7,95.9,2009
21,Minnesota Timberwolves,98.2,97.3,2009
26,New Orleans Pelicans,96.3,95.3,2009
4,New York Knicks,107,103.5,2009
24,Oklahoma City Thunder,95.1,98.8,2009
10,Orlando Magic,101.2,100.9,2009
22,Philadelphia 76ers,97.7,97.1,2009
1,Phoenix Suns,112.7,106.2,2009
14,Portland Trail Blazers,103.8,95.1,2009
12,Sacramento Kings,102.1,99,2009
23,San Antonio Spurs,97.9,96.2,2009
16,Toronto Raptors,101.7,96.4,2009
7,Utah Jazz,105,102.1,2009
25,Washington Wizards,97.4,94.7,2009
15,Atlanta Hawks,101.8,94.7,2008
11,Boston Celtics,100.4,100.7,2008
25,Brooklyn Nets,97.2,94.4,2008
19,Charlotte Hornets,99.9,94.3,2008
18,Chicago Bulls,98.6,96,2008
24,Cleveland Cavaliers,97.7,95,2008
12,Dallas Mavericks,103.7,97.1,2008
2,Denver Nuggets,113,108.4,2008
17,Detroit Pistons,99.8,95.1,2008
1,Golden State Warriors,113.9,108.2,2008
22,Houston Rockets,97.9,95.6,2008
7,Indiana Pacers,106.1,101.9,2008
29,Los Angeles Clippers,92.5,95.1,2008
4,Los Angeles Lakers,110.2,107,2008
10,Memphis Grizzlies,103.4,98,2008
30,Miami Heat,92.7,90,2008
20,Milwaukee Bucks,100.1,93.9,2008
26,Minnesota Timberwolves,96.6,94.6,2008
9,New Orleans Pelicans,102.1,99.6,2008
21,New York Knicks,96.9,96.9,2008
16,Oklahoma City Thunder,98.8,96.3,2008
6,Orlando Magic,104.5,104.4,2008
23,Philadelphia 76ers,96.9,96.3,2008
3,Phoenix Suns,112.3,107.8,2008
28,Portland Trail Blazers,97.8,92.9,2008
8,Sacramento Kings,104.4,100.7,2008
27,San Antonio Spurs,97.9,92.8,2008
13,Toronto Raptors,102.1,98.2,2008
5,Utah Jazz,109,103.5,2008
14,Washington Wizards,100.5,97.2,2008
30,Atlanta Hawks,96.6,90.8,2007
22,Boston Celtics,95.9,95.8,2007
15,Brooklyn Nets,99.4,95.7,2007
18,Charlotte Hornets,97.5,96.2,2007
13,Chicago Bulls,100,97.6,2007
19,Cleveland Cavaliers,97.8,95.7,2007
9,Dallas Mavericks,102.7,97.4,2007
3,Denver Nuggets,106.6,104.1,2007
21,Detroit Pistons,96.8,95.2,2007
2,Golden State Warriors,110,103,2007
17,Houston Rockets,97.3,96.6,2007
24,Indiana Pacers,98.3,93,2007
23,Los Angeles Clippers,97.4,93.9,2007
5,Los Angeles Lakers,106.3,100.4,2007
6,Memphis Grizzlies,105.5,97.7,2007
28,Miami Heat,94.8,94.5,2007
10,Milwaukee Bucks,101.3,98,2007
20,Minnesota Timberwolves,98,94.2,2007
25,New Orleans Pelicans,95.8,95.3,2007
16,New York Knicks,99.6,95.4,2007
12,Oklahoma City Thunder,99.5,98.8,2007
27,Orlando Magic,95.7,93.9,2007
26,Philadelphia 76ers,94.6,95.3,2007
1,Phoenix Suns,109.6,110.8,2007
29,Portland Trail Blazers,95.8,92.5,2007
8,Sacramento Kings,103.7,98.8,2007
14,San Antonio Spurs,98.5,98.6,2007
11,Toronto Raptors,102.2,96.7,2007
7,Utah Jazz,104.6,98.4,2007
4,Washington Wizards,105.5,103.1,2007
