Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,Season
1,San Antonio Spurs*,82,19780,2860,6463,0.443,368,1101,0.334,2492,5362,0.465,1300,1756,0.74,829,2379,3208,1416,580,337,1176,1739,7388,90.1,2007
2,Detroit Pistons*,82,19880,2819,6337,0.445,409,1205,0.339,2410,5132,0.47,1484,2006,0.74,973,2403,3376,1647,521,290,1205,1668,7531,91.8,2007
3,Houston Rockets*,82,19855,2793,6503,0.429,472,1346,0.351,2321,5157,0.45,1497,2000,0.749,800,2548,3348,1588,571,353,1163,1631,7555,92.1,2007
4,Dallas Mavericks*,82,19755,2790,6241,0.447,375,1074,0.349,2415,5167,0.467,1654,2216,0.746,839,2286,3125,1471,565,312,1190,1811,7609,92.8,2007
5,Cleveland Cavaliers*,82,19880,2838,6337,0.448,405,1231,0.329,2433,5106,0.476,1539,2096,0.734,807,2461,3268,1649,540,349,1254,1804,7620,92.9,2007
6,Chicago Bulls*,82,19780,2793,6416,0.435,484,1387,0.349,2309,5029,0.459,1619,2219,0.73,897,2456,3353,1675,614,433,1429,1900,7689,93.8,2007
7,Orlando Magic*,82,19780,2739,6191,0.442,461,1306,0.353,2278,4885,0.466,1768,2327,0.76,865,2217,3082,1609,678,376,1232,1921,7707,94,2007
8,Miami Heat*,82,19855,2895,6517,0.444,531,1495,0.355,2364,5022,0.471,1513,2039,0.742,921,2467,3388,1656,562,314,1185,1790,7834,95.5,2007
9,Los Angeles Clippers,82,19730,2912,6436,0.452,455,1341,0.339,2457,5095,0.482,1602,2142,0.748,843,2377,3220,1722,582,321,1132,1829,7881,96.1,2007
10,New Orleans/Oklahoma City Hornets,82,19880,3004,6579,0.457,559,1575,0.355,2445,5004,0.489,1395,1839,0.759,853,2493,3346,1703,554,392,1119,1733,7962,97.1,2007
11,Indiana Pacers,82,19780,2931,6416,0.457,437,1175,0.372,2494,5241,0.476,1741,2311,0.753,915,2499,3414,1642,644,410,1289,1942,8040,98,2007
12,Philadelphia 76ers,82,19880,3039,6570,0.463,503,1424,0.353,2536,5146,0.493,1452,1926,0.754,969,2404,3373,1825,606,320,1280,1801,8033,98,2007
13,New Jersey Nets*,82,19880,2911,6476,0.45,519,1455,0.357,2392,5021,0.476,1723,2261,0.762,867,2526,3393,1805,584,369,1188,1886,8064,98.3,2007
14,Portland Trail Blazers,82,19955,2962,6292,0.471,467,1293,0.361,2495,4999,0.499,1678,2157,0.778,850,2347,3197,1703,539,380,1127,1750,8069,98.4,2007
